ropaty,name,address,email,country_code,telephone,dpo_name,dpo_address,dpo_email,dpo_country_code,dpo_phone,rep_name,rep_address,rep_email,rep_country_code,rep_phone
,,,,,,,,,,,,,,,
contoller,Nilofar,,,,1234567892,,,,,91,,,,,
on,Nilofar Mujawar,kyjtrkyjt,mnilofar178@gmail.com,,777777777777,euirhtuhjnrgt,hgyfdgf,nilo@gmail.com,,9999999999,hgjerhjg,rjkhjrhr,nilo@gmail.com,,999999999
Processer,Shivani,Pune,saks@gmail.com,,88888888,John,Pune,saks@gmail.com,,9999999999,Hon,Pune,saks@gmail.com,,98765
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,987654321,Neha,Pune,shivanibachhav@gmail.com,,76543229,,,,,
Processer,Shivani,Pune,shivanibachhav26@gmail.com,,123456789,John,Pune,shivani@gmail.com,,987654321,,,,,
Controller,wipro,Pune,xyz@gmail.com,,987654321,Shivani,Pune,shivani@gmail.com,,123456789,,,,,
Processer,Shivani,Pune,shivani@gmail.com,,987654321,con,Pune,con@gmail.com,,123456789,,,,,
Processer,Shivani,Pune,shivani@gmail.com,,987654321,con,Pune,con@gmail.com,,123456789,,,,,
Processer,Shivani,Pune,saks@gmail.com,,1234567890,doe,Pune,doe@gmail.com,,987654321,,,,,
Processer,CG,Pune,joe@gmail.com,,123456789,Doe,Pune,doe@gmail.com,,987654321,,,,,
Processer,CG,Pune,joe@gmail.com,,123456789,Doe,Pune,doe@gmail.com,,987654321,,,,,
Controller,sneha,Mumbai,sneha@gmail.com,,1234567890,Leo,Mumbai,leo@gmail.com,,97654321,,,,,
Controller,Shivani,Pune,shivani@gmail.com,,123456789,sak,Pune,doe@gmail.com,,98765432,,,,,
Processer,CG,Pune,cg@gmail.com,,1234567890,Don,,don@gmail.com,,987654234567,,,,,
Processer,Shivani,Pune,saks@gmail.com,,1234567890,doe,Pune,shivani@gmail.com,,98765432123,,,,,
Processer,Shivani,Pune,saks@gmail.com,,1234567890,doe,Pune,shivani@gmail.com,,98765432123,,,,,
Processer,Shivani,Pune,saks@gmail.com,,1234567890,doe,Pune,shivani@gmail.com,,98765432123,,,,,
